property_id,city,locality,property_type,bhk,area_sqft,price,price_per_sqft,floor_no,total_floors,age_years,furnishing_status,property_status,facing,bathrooms,balconies,parking,amenities,monthly_rent,listing_date,seller_type,negotiable,is_sold
PROP00012,Delhi,Karol Bagh,Apartment,4,806,13300000,16501.24,30,31,1,Unfurnished,Under Construction,East,4,2,1,CCTV|Park|Parking|Swimming Pool|Lift|Power Backup|Security|Clubhouse,35010,2021-07-25,Owner,Yes,1
PROP00013,Hyderabad,Hitech City,Apartment,4,948,12400000,13080.17,28,36,2,Furnished,Ready to Move,West,4,2,1,CCTV|Gym|Park|Clubhouse|Parking|Power Backup,46864,2019-08-25,Agent,Yes,0
PROP00014,Hyderabad,Kondapur,Villa,2,1817,17100000,9411.12,0,6,0,Furnished,Ready to Move,North-East,3,0,0,Park|Parking,49310,2023-02-27,Builder,Yes,0
PROP00015,Bangalore,Electronic City,Apartment,2,555,9400000,16936.94,13,21,0,Furnished,Ready to Move,South-East,2,2,1,Park|Security,25449,2019-07-30,Owner,Yes,0
PROP00016,Hyderabad,Banjara Hills,Row House,4,1487,17900000,12037.66,0,5,0,Furnished,New Launch,North,4,1,0,Security|Clubhouse|Swimming Pool|Park|Gym|CCTV|Power Backup|Lift,68680,2023-07-31,Builder,Yes,0
PROP00017,Kolkata,Rajarhat,Apartment,1,697,6100000,8751.79,11,16,5,Unfurnished,Under Construction,South,1,1,2,Gym|Swimming Pool|Parking|Power Backup|Clubhouse|Lift|CCTV,21088,2020-12-08,Owner,Yes,1
PROP00018,Lucknow,Aliganj,Apartment,3,962,4800000,4989.6,29,37,5,Unfurnished,New Launch,North,4,0,2,Park|Lift|Gym|CCTV|Parking,18240,2023-01-14,Agent,No,1
PROP00019,Chennai,Porur,Apartment,2,718,6900000,9610.03,21,31,15,Unfurnished,Under Construction,North,2,1,1,Clubhouse|CCTV,21803,2023-05-29,Agent,No,0
PROP00020,Jaipur,Malviya Nagar,Independent House,5,1517,12200000,8042.19,0,9,0,Unfurnished,Ready to Move,South-East,5,0,0,Swimming Pool|Security|Park|Parking|CCTV|Clubhouse|Gym,48408,2020-05-16,Agent,No,0
PROP00021,Lucknow,Aliganj,Independent House,2,2093,13000000,6211.18,0,1,5,Furnished,Ready to Move,South,3,0,0,Lift|Security|Swimming Pool,32479,2022-02-15,Agent,No,0
PROP00022,Ahmedabad,Maninagar,Studio,1,354,3700000,10451.98,13,17,2,Unfurnished,Ready to Move,North,2,0,1,Clubhouse|Security|Lift|Park|Parking|Power Backup|CCTV|Gym|Swimming Pool,9514,2023-01-01,Owner,Yes,1
PROP00023,Hyderabad,Madhapur,Independent House,3,1813,12300000,6784.34,0,6,1,Semi-Furnished,Ready to Move,North-East,4,3,2,Lift|Gym|CCTV|Clubhouse|Security|Park|Power Backup|Swimming Pool,46534,2023-10-14,Owner,Yes,1
PROP00024,Chennai,Adyar,Apartment,2,615,6800000,11056.91,25,32,10,Semi-Furnished,Under Construction,West,2,2,0,Lift|Gym,15445,2021-05-27,Agent,No,1
PROP00025,Ahmedabad,Bopal,Apartment,4,791,6200000,7838.18,30,33,1,Semi-Furnished,Ready to Move,West,4,0,0,Park|Security,12784,2023-03-25,Owner,Yes,1
PROP00026,Ahmedabad,Vastrapur,Apartment,4,922,8400000,9110.63,8,14,0,Semi-Furnished,Under Construction,South,4,2,2,Parking|Clubhouse|Gym,28179,2022-03-25,Builder,Yes,1
PROP00027,Hyderabad,Gachibowli,Independent House,2,1569,13100000,8349.27,0,7,10,Furnished,Under Construction,North-West,2,1,0,Park|Swimming Pool|Clubhouse|CCTV|Parking|Gym|Power Backup|Lift,42852,2021-01-11,Agent,Yes,0
PROP00028,Chennai,Porur,Studio,1,475,4900000,10315.79,15,20,2,Semi-Furnished,Under Construction,West,2,1,1,Swimming Pool|Clubhouse|Security|CCTV|Lift,14644,2019-02-28,Builder,No,0
PROP00029,Pune,Viman Nagar,Penthouse,3,2679,20100000,7502.8,0,10,15,Unfurnished,Ready to Move,North-East,3,3,1,CCTV|Security|Park|Power Backup|Lift|Clubhouse|Gym|Parking|Swimming Pool,49980,2022-11-17,Agent,No,1
PROP00030,Jaipur,Mansarovar,Apartment,2,841,5500000,6539.83,7,15,10,Furnished,Ready to Move,North-East,3,2,1,Security|CCTV|Park|Power Backup,21742,2022-04-22,Builder,Yes,1
PROP00031,Pune,Hinjewadi,Apartment,3,779,6600000,8472.4,1,2,5,Furnished,Under Construction,South,3,2,1,Swimming Pool|Gym|Clubhouse|Parking|Security|Lift|CCTV|Park|Power Backup,19506,2023-10-31,Builder,Yes,1
PROP00032,Lucknow,Indira Nagar,Apartment,2,1270,8000000,6299.21,13,23,5,Unfurnished,Under Construction,East,2,0,0,Power Backup|CCTV|Parking|Clubhouse|Security|Lift|Park|Gym,19376,2022-07-05,Builder,Yes,1
PROP00033,Bangalore,Whitefield,Apartment,3,897,13600000,15161.65,1,11,1,Furnished,Ready to Move,West,3,3,1,Security|Clubhouse|Lift,42012,2019-08-24,Builder,Yes,1
PROP00034,Chennai,Porur,Independent House,3,1588,15100000,9508.82,0,1,2,Furnished,Ready to Move,West,4,2,2,CCTV|Power Backup|Security|Gym|Clubhouse|Park,37761,2022-05-21,Owner,Yes,0
PROP00035,Chennai,Porur,Apartment,3,1064,9200000,8646.62,20,30,15,Semi-Furnished,Ready to Move,South,4,3,2,Swimming Pool|Power Backup|Parking|Security|Lift|Clubhouse|Park|Gym|CCTV,27516,2022-11-21,Builder,No,1
PROP00036,Chennai,Velachery,Apartment,3,655,8500000,12977.1,26,30,5,Furnished,Ready to Move,South,3,1,2,CCTV|Park|Clubhouse|Security|Power Backup,26336,2020-06-30,Agent,Yes,1
PROP00037,Lucknow,Aliganj,Independent House,2,1841,9700000,5268.88,0,3,0,Semi-Furnished,New Launch,North-East,2,1,2,Swimming Pool|Parking|Security|Park|Power Backup|Clubhouse|CCTV|Lift|Gym,22206,2022-02-02,Owner,Yes,0
PROP00038,Chennai,Adyar,Apartment,3,508,4000000,7874.02,0,6,10,Semi-Furnished,Under Construction,West,4,1,1,Parking|Power Backup|Clubhouse|Security|CCTV|Lift|Park|Swimming Pool|Gym,9910,2022-11-29,Builder,No,0
PROP00039,Kolkata,Park Street,Row House,3,1334,11900000,8920.54,0,2,2,Furnished,Ready to Move,East,3,3,1,Swimming Pool|Power Backup|Gym|Clubhouse|Security|Lift|Parking,39383,2023-11-19,Agent,No,0
PROP00040,Kolkata,Behala,Apartment,2,939,6500000,6922.26,17,24,20,Semi-Furnished,Under Construction,West,2,2,2,CCTV|Gym|Clubhouse|Power Backup|Swimming Pool|Parking|Park|Security|Lift,24343,2022-12-12,Agent,Yes,1
PROP00041,Mumbai,Powai,Apartment,2,1047,16900000,16141.36,13,20,5,Unfurnished,Ready to Move,North,3,1,2,Security|Power Backup|Clubhouse|Swimming Pool|Park|CCTV|Parking|Lift,34117,2022-09-27,Owner,Yes,1
PROP00042,Pune,Hadapsar,Apartment,5,934,11700000,12526.77,14,24,0,Semi-Furnished,Ready to Move,South-East,5,3,2,Lift|Park|Clubhouse|Parking|Power Backup,23589,2020-07-16,Builder,No,0
PROP00043,Chennai,OMR,Villa,2,2176,23500000,10799.63,0,1,1,Unfurnished,Under Construction,North,2,2,1,Swimming Pool|Gym|Parking|Security,81420,2021-01-17,Owner,No,1
PROP00044,Bangalore,Electronic City,Studio,1,339,4100000,12094.4,16,20,10,Semi-Furnished,Ready to Move,North-East,2,0,0,Clubhouse|Park|Lift|Gym|Security|Power Backup|CCTV|Parking|Swimming Pool,11435,2023-06-08,Agent,No,0
PROP00045,Chennai,Porur,Apartment,3,604,7100000,11754.97,21,28,2,Furnished,Under Construction,East,3,0,0,Security|Swimming Pool|Park|CCTV|Parking|Lift|Gym,18521,2019-03-18,Builder,Yes,1
PROP00046,Pune,Wakad,Row House,3,1456,12900000,8859.89,0,3,10,Unfurnished,Ready to Move,South-East,3,2,1,Power Backup|Lift|Parking,37239,2020-03-20,Builder,No,1
PROP00047,Pune,Kothrud,Apartment,2,807,8300000,10285.01,27,28,0,Semi-Furnished,Ready to Move,South-East,2,0,2,Gym|Park,25971,2023-05-31,Builder,Yes,0
PROP00048,Hyderabad,Jubilee Hills,Independent House,3,2011,14100000,7011.44,0,2,15,Semi-Furnished,Ready to Move,North,4,1,0,Parking|Swimming Pool|Park|Gym|Power Backup|Lift,37330,2022-04-20,Builder,No,1
PROP00049,Delhi,Saket,Apartment,2,968,16700000,17252.07,14,15,1,Unfurnished,Under Construction,East,2,1,1,Power Backup|Gym|CCTV|Security|Park|Clubhouse,63784,2022-12-29,Owner,Yes,1
PROP00050,Chennai,Porur,Villa,3,1847,15800000,8554.41,0,7,5,Unfurnished,Ready to Move,South,4,1,1,Swimming Pool|Security|Power Backup,42310,2021-04-27,Owner,Yes,1
PROP00051,Pune,Wakad,Apartment,5,964,12800000,13278.01,15,21,0,Furnished,Ready to Move,South-East,5,3,2,Parking|Gym|Clubhouse|Lift|Park|CCTV|Security,47964,2020-12-25,Builder,No,0
PROP00052,Pune,Kothrud,Villa,2,2122,22800000,10744.58,0,9,10,Furnished,Ready to Move,North-West,3,2,2,Clubhouse|Security|Lift,82920,2023-04-21,Owner,Yes,0
PROP00053,Chennai,Anna Nagar,Apartment,3,764,7600000,9947.64,10,15,0,Semi-Furnished,New Launch,North,4,3,2,Swimming Pool|Parking|Park|Lift|Gym|Clubhouse|Power Backup|Security,20381,2021-07-18,Agent,Yes,0
PROP00054,Bangalore,Koramangala,Independent House,1,1922,19700000,10249.74,0,9,5,Semi-Furnished,Ready to Move,East,2,1,0,Security|Swimming Pool|Parking|CCTV|Gym|Lift,48088,2019-04-04,Builder,No,0
PROP00055,Bangalore,Indiranagar,Apartment,1,1106,16400000,14828.21,13,19,0,Furnished,Ready to Move,North-East,2,0,1,Swimming Pool|Lift|Power Backup|Park|Gym|Security|Clubhouse,43068,2023-11-01,Owner,No,1
PROP00056,Kolkata,Salt Lake,Row House,2,1786,13700000,7670.77,0,4,10,Semi-Furnished,New Launch,North-West,3,2,1,Security|Lift|Clubhouse,38244,2019-06-11,Builder,No,0
PROP00057,Delhi,Karol Bagh,Villa,3,2032,28000000,13779.53,0,10,2,Semi-Furnished,New Launch,East,3,1,0,Security|Swimming Pool|Power Backup|Parking,64560,2022-05-18,Owner,No,1
PROP00058,Lucknow,Hazratganj,Apartment,4,838,5300000,6324.58,20,20,1,Unfurnished,New Launch,North,4,2,1,Swimming Pool|Power Backup|Security|Park|Parking|Clubhouse|Lift|Gym|CCTV,15390,2021-08-03,Builder,Yes,0
PROP00059,Jaipur,Malviya Nagar,Apartment,3,966,9600000,9937.89,28,35,2,Furnished,Under Construction,South,3,1,2,Power Backup|Parking|Gym|Security|Lift|CCTV|Park,23956,2019-03-22,Owner,Yes,1
PROP00060,Chennai,Adyar,Apartment,2,1095,10700000,9771.69,25,35,5,Unfurnished,Ready to Move,South,2,1,0,Clubhouse|CCTV|Park|Lift|Power Backup|Swimming Pool|Security|Gym,42108,2020-09-27,Owner,Yes,1
PROP00061,Kolkata,Behala,Independent House,4,1704,9200000,5399.06,0,2,20,Unfurnished,New Launch,East,5,1,1,CCTV|Park|Gym|Parking|Power Backup|Swimming Pool|Lift|Security,36799,2020-04-08,Builder,Yes,0
PROP00062,Lucknow,Aliganj,Villa,2,2162,8900000,4116.56,0,7,10,Unfurnished,Under Construction,South-East,2,2,0,Gym|Lift|Parking|Park|Swimming Pool|Security|Power Backup|Clubhouse|CCTV,23308,2020-05-04,Agent,No,1
PROP00063,Chennai,Adyar,Villa,2,1978,15100000,7633.97,0,1,10,Furnished,Ready to Move,West,3,2,1,Park|Swimming Pool|CCTV|Clubhouse|Gym|Parking|Lift|Security|Power Backup,55297,2019-10-29,Agent,Yes,1
PROP00064,Kolkata,Alipore,Apartment,2,660,4800000,7272.73,7,8,1,Furnished,Ready to Move,East,3,1,1,Parking|CCTV|Gym|Power Backup|Security|Swimming Pool|Park,9650,2022-06-14,Builder,Yes,1
PROP00065,Lucknow,Hazratganj,Apartment,3,1062,6400000,6026.37,3,9,1,Furnished,Under Construction,East,3,1,2,Swimming Pool|Power Backup|Clubhouse,14637,2023-01-11,Agent,Yes,1
PROP00066,Bangalore,Hebbal,Independent House,3,2071,23700000,11443.75,0,0,5,Unfurnished,Under Construction,North,3,3,0,Lift|Power Backup,59423,2021-02-03,Agent,Yes,0
PROP00067,Delhi,Gurgaon,Villa,3,2185,25800000,11807.78,0,4,5,Semi-Furnished,Under Construction,North-East,3,1,1,Power Backup|Parking|Lift|Swimming Pool|Gym|Security|Clubhouse|Park|CCTV,67884,2019-03-27,Owner,No,1
PROP00068,Hyderabad,Jubilee Hills,Apartment,3,1100,13000000,11818.18,10,12,0,Semi-Furnished,Ready to Move,North-East,4,0,1,Lift|Park|Swimming Pool|Security|Power Backup|Parking|Clubhouse|CCTV|Gym,41663,2021-05-31,Agent,Yes,1
PROP00069,Chennai,Velachery,Apartment,3,972,9300000,9567.9,14,21,2,Semi-Furnished,Under Construction,East,3,1,0,Clubhouse|Gym|Power Backup|Park|Security|Parking|CCTV|Lift,29900,2023-10-05,Builder,Yes,0
PROP00070,Pune,Viman Nagar,Apartment,3,770,7700000,10000.0,21,23,15,Semi-Furnished,Ready to Move,South,4,1,2,CCTV|Park|Security|Parking,15799,2019-08-21,Agent,Yes,1
PROP00071,Chennai,Sholinganallur,Apartment,5,972,9300000,9567.9,29,37,1,Semi-Furnished,Ready to Move,North,5,2,1,Power Backup|Swimming Pool|Lift|Park,19807,2022-12-24,Builder,Yes,0
PROP00072,Jaipur,C Scheme,Apartment,2,1207,8100000,6710.85,25,34,0,Semi-Furnished,Under Construction,East,3,2,0,Swimming Pool|CCTV|Parking|Security,28660,2021-04-21,Agent,Yes,1
PROP00073,Jaipur,Mansarovar,Apartment,4,892,6600000,7399.1,18,21,10,Furnished,Ready to Move,North,5,1,2,Swimming Pool|Parking,17459,2019-11-28,Agent,Yes,1
PROP00074,Jaipur,Mansarovar,Apartment,2,1212,8800000,7260.73,16,16,0,Unfurnished,New Launch,South,2,2,2,Gym|CCTV|Power Backup|Lift|Clubhouse|Parking|Security,28478,2021-05-03,Owner,No,0
PROP00075,Chennai,Adyar,Apartment,4,376,3800000,10106.38,14,19,5,Furnished,Ready to Move,West,4,2,1,Security|Park|Clubhouse|Swimming Pool|Parking|Lift|CCTV|Power Backup|Gym,11868,2021-11-20,Builder,No,1
PROP00076,Bangalore,Whitefield,Apartment,4,1064,14100000,13251.88,13,21,20,Furnished,New Launch,South,5,0,0,Security|Parking|CCTV|Clubhouse|Lift|Park|Swimming Pool,54855,2019-07-04,Builder,No,1
PROP00077,Chennai,Adyar,Villa,4,2217,22700000,10239.06,0,6,5,Semi-Furnished,Under Construction,North-East,4,2,1,Park|Lift|Parking|Gym|Security|CCTV,58502,2022-02-07,Owner,No,0
PROP00078,Lucknow,Mahanagar,Villa,1,2140,10000000,4672.9,0,7,10,Semi-Furnished,Ready to Move,North-East,1,0,1,Security|Lift|Clubhouse|Gym,34271,2019-10-08,Builder,Yes,1
PROP00079,Lucknow,Indira Nagar,Apartment,5,918,6300000,6862.75,9,19,1,Unfurnished,Under Construction,South-East,5,0,2,Power Backup|Gym|Parking|Lift|CCTV|Security,18579,2022-05-07,Owner,Yes,0
PROP00080,Lucknow,Vikas Nagar,Apartment,3,502,3400000,6772.91,26,29,0,Semi-Furnished,Under Construction,South,4,3,2,Security|Gym|CCTV,9608,2019-11-07,Owner,No,0
PROP00081,Mumbai,Thane,Apartment,2,856,15500000,18107.48,21,25,5,Semi-Furnished,Ready to Move,South-East,2,1,1,CCTV|Park|Power Backup|Lift|Parking|Security|Gym,40253,2022-02-16,Owner,Yes,0
PROP00082,Ahmedabad,Bopal,Apartment,3,971,10900000,11225.54,23,31,1,Semi-Furnished,Under Construction,North,4,3,2,Park|Parking|Power Backup|Gym|Lift|CCTV|Swimming Pool|Clubhouse,26205,2020-03-14,Owner,No,1
PROP00083,Lucknow,Mahanagar,Villa,2,2495,14900000,5971.94,0,4,1,Unfurnished,Ready to Move,North,3,1,1,Power Backup|Swimming Pool|Park|CCTV|Gym|Lift|Security,35743,2022-08-25,Owner,Yes,0
PROP00084,Delhi,Noida Ext,Villa,3,2096,32700000,15601.15,0,4,15,Furnished,Ready to Move,North-East,3,2,2,Gym|Lift|Power Backup|Security,67850,2023-12-01,Builder,No,1
PROP00085,Jaipur,Jagatpura,Apartment,4,738,6400000,8672.09,14,20,0,Semi-Furnished,Ready to Move,North-West,5,3,0,Clubhouse|Parking|Gym|Park|Power Backup|CCTV|Security|Lift|Swimming Pool,16997,2021-11-21,Builder,Yes,1
PROP00086,Hyderabad,Gachibowli,Apartment,2,799,8300000,10387.98,30,34,1,Semi-Furnished,Under Construction,North-West,3,2,0,Security|Gym|Park|Power Backup|CCTV|Parking|Lift,31923,2021-10-26,Owner,No,1
PROP00087,Hyderabad,Banjara Hills,Row House,2,1783,15800000,8861.47,0,8,2,Unfurnished,Under Construction,North-East,3,0,0,Security|Swimming Pool|Clubhouse|CCTV|Lift,35145,2022-03-01,Owner,Yes,1
PROP00088,Jaipur,Malviya Nagar,Apartment,2,965,6500000,6735.75,2,2,2,Unfurnished,Ready to Move,South,2,2,1,Power Backup|Gym|Clubhouse|Security|Parking|CCTV|Swimming Pool|Lift,20518,2020-03-22,Owner,Yes,1
PROP00089,Mumbai,Bandra,Row House,2,1494,27300000,18273.09,0,6,10,Furnished,Under Construction,North-East,3,0,0,Park|Lift|Security|Power Backup|CCTV|Gym|Parking|Clubhouse,108809,2020-01-01,Owner,Yes,0
PROP00090,Mumbai,Powai,Apartment,3,1002,21300000,21257.49,12,21,1,Furnished,Ready to Move,East,3,1,1,Gym|Lift|Clubhouse,45466,2020-02-27,Owner,Yes,1
PROP00091,Mumbai,Worli,Apartment,3,919,23800000,25897.71,24,33,0,Furnished,New Launch,North-West,4,2,0,Park|Security|Parking|Swimming Pool|Clubhouse|CCTV|Power Backup,74099,2019-05-05,Owner,No,1
PROP00092,Mumbai,Powai,Row House,3,1793,37700000,21026.21,0,0,5,Semi-Furnished,Ready to Move,North-East,4,1,1,CCTV|Power Backup|Swimming Pool|Lift,110312,2023-07-09,Agent,Yes,1
PROP00093,Chennai,OMR,Apartment,1,759,7300000,9617.92,11,14,5,Furnished,Under Construction,North-West,2,1,0,Gym|Swimming Pool|Power Backup|Clubhouse|Park|Lift|Security|CCTV,17692,2019-02-01,Owner,No,0
PROP00094,Lucknow,Mahanagar,Apartment,4,834,5600000,6714.63,24,33,2,Semi-Furnished,Ready to Move,South-East,4,2,0,Park|Power Backup|Security|Gym|Lift|Parking,15836,2020-10-02,Owner,Yes,1
PROP00095,Jaipur,Jagatpura,Villa,2,2121,12600000,5940.59,0,7,1,Semi-Furnished,Under Construction,West,3,0,2,Clubhouse|Power Backup|Park|Lift|Security|CCTV|Gym,43351,2019-10-14,Owner,Yes,1
PROP00096,Delhi,Gurgaon,Independent House,3,1507,20200000,13404.11,0,4,1,Unfurnished,Under Construction,North-East,3,3,1,Park|Gym|Clubhouse|CCTV|Lift|Security|Parking|Swimming Pool|Power Backup,41075,2019-01-25,Builder,No,0
PROP00097,Bangalore,Whitefield,Penthouse,3,2859,36900000,12906.61,19,20,1,Unfurnished,Ready to Move,North-West,3,1,2,Park|Lift|Security,124282,2020-09-06,Builder,Yes,1
PROP00098,Kolkata,Alipore,Apartment,3,952,7000000,7352.94,2,3,10,Semi-Furnished,Under Construction,North-West,3,3,1,CCTV|Gym|Swimming Pool,14651,2020-07-09,Owner,Yes,1
PROP00099,Pune,Kothrud,Row House,3,1601,15300000,9556.53,0,3,10,Unfurnished,New Launch,South-East,3,2,0,Lift|Park|Security|Power Backup|Swimming Pool,33589,2019-04-20,Agent,No,0
PROP00100,Pune,Kothrud,Villa,3,2153,23600000,10961.45,0,5,2,Furnished,New Launch,East,4,1,0,Swimming Pool|Clubhouse|Lift|CCTV|Gym|Power Backup|Park|Security,65590,2023-02-23,Builder,No,1
PROP00101,Chennai,Anna Nagar,Apartment,2,616,6000000,9740.26,17,25,2,Unfurnished,Ready to Move,West,3,1,2,Park|Lift|Gym,21350,2021-03-05,Owner,Yes,0
PROP00102,Bangalore,Koramangala,Apartment,2,815,9900000,12147.24,5,11,1,Semi-Furnished,Ready to Move,North,2,0,2,Clubhouse|Security|Park|Lift|Power Backup|Swimming Pool|CCTV,19933,2020-09-15,Agent,No,1
PROP00103,Kolkata,Behala,Row House,1,1531,11400000,7446.11,0,3,1,Unfurnished,Ready to Move,North-East,2,1,2,Clubhouse|Power Backup|CCTV|Swimming Pool|Parking|Security|Park,44051,2019-08-22,Builder,Yes,0
PROP00104,Ahmedabad,Vastrapur,Apartment,3,739,6600000,8930.99,2,8,5,Semi-Furnished,Ready to Move,North-East,4,3,0,Parking|Lift|Power Backup|Security|Gym|Park,19887,2021-12-30,Agent,Yes,1
PROP00105,Hyderabad,Kondapur,Independent House,2,1767,11200000,6338.43,0,10,20,Unfurnished,Under Construction,North-East,2,1,2,Lift|Swimming Pool|Gym|CCTV|Parking|Power Backup|Clubhouse,31161,2021-02-05,Owner,Yes,1
PROP00106,Mumbai,Worli,Apartment,2,980,23500000,23979.59,3,4,0,Unfurnished,Ready to Move,North,3,2,0,CCTV|Power Backup|Parking|Security|Gym,68265,2022-11-27,Owner,Yes,1
PROP00107,Pune,Wakad,Apartment,4,1277,17500000,13703.99,23,26,5,Furnished,Under Construction,South,5,0,2,Power Backup|Security|Lift|CCTV|Swimming Pool|Clubhouse|Parking|Park,56493,2023-02-19,Agent,No,1
PROP00108,Hyderabad,Banjara Hills,Apartment,3,934,9300000,9957.17,18,19,10,Furnished,Ready to Move,North,4,3,1,Power Backup|Swimming Pool|Parking|Park|Security,25901,2022-06-05,Agent,Yes,0
PROP00109,Chennai,Porur,Villa,3,2251,23100000,10262.11,0,5,1,Furnished,Ready to Move,South-East,3,3,1,Lift|Parking|Clubhouse|Security|Park|Swimming Pool|CCTV|Gym,52681,2020-08-14,Owner,Yes,0
PROP00110,Mumbai,Worli,Apartment,4,885,21600000,24406.78,16,25,2,Unfurnished,Under Construction,North-West,4,2,1,Power Backup|Parking|Gym|Clubhouse|Lift|Swimming Pool|Security|Park|CCTV,76927,2019-12-11,Owner,Yes,1
PROP00111,Chennai,Porur,Studio,1,300,2800000,9333.33,26,29,10,Furnished,Ready to Move,South-East,2,0,2,Swimming Pool|Security|Parking|Gym|Power Backup|Lift|CCTV|Park,10146,2023-05-08,Owner,No,0
PROP00112,Lucknow,Mahanagar,Apartment,3,894,6400000,7158.84,26,32,10,Furnished,Under Construction,East,4,0,1,Park|Clubhouse|Parking|Power Backup,25123,2019-10-05,Owner,Yes,0
PROP00113,Bangalore,Koramangala,Apartment,2,912,11600000,12719.3,26,26,2,Unfurnished,Ready to Move,South-East,3,1,2,Lift|Power Backup|Gym|Park|CCTV|Security|Parking|Swimming Pool,30793,2021-09-26,Builder,No,0
PROP00114,Pune,Kothrud,Independent House,2,2292,30400000,13263.53,0,7,2,Furnished,Ready to Move,East,2,0,0,Power Backup|Park|CCTV|Gym,108460,2022-07-06,Builder,No,1
PROP00115,Kolkata,New Town,Row House,4,1561,14200000,9096.73,0,1,0,Semi-Furnished,New Launch,East,5,1,0,Clubhouse|Swimming Pool|Parking|Park|Power Backup|Gym|CCTV,47015,2021-05-29,Agent,Yes,1
PROP00116,Hyderabad,Hitech City,Independent House,1,1860,13100000,7043.01,0,4,20,Furnished,Ready to Move,West,1,0,1,Security|Lift|Gym,35830,2020-10-03,Builder,Yes,1
PROP00117,Lucknow,Gomti Nagar,Villa,2,2193,12600000,5745.55,0,3,5,Furnished,Ready to Move,North-East,2,0,2,Security|Swimming Pool|Gym|Power Backup|Lift|CCTV|Park|Parking|Clubhouse,41444,2020-07-21,Owner,No,0
PROP00118,Mumbai,Navi Mumbai,Studio,1,300,6400000,21333.33,6,15,5,Unfurnished,Ready to Move,East,2,0,2,Security|Power Backup,19194,2020-05-08,Builder,No,0
PROP00119,Bangalore,HSR Layout,Studio,1,628,8800000,14012.74,11,17,5,Unfurnished,Under Construction,North-East,2,0,1,Gym|Swimming Pool|CCTV,33837,2019-03-23,Owner,No,1
PROP00120,Kolkata,Salt Lake,Villa,3,2350,16000000,6808.51,0,3,1,Furnished,Ready to Move,East,3,2,0,CCTV|Park|Security|Clubhouse,45999,2022-12-01,Builder,No,1
PROP00121,Lucknow,Hazratganj,Apartment,3,1058,7200000,6805.29,5,9,0,Furnished,Ready to Move,North-West,4,3,2,Park|Clubhouse|Swimming Pool|Parking|Lift|CCTV|Security|Gym|Power Backup,21943,2020-07-11,Owner,Yes,1
PROP00122,Jaipur,Mansarovar,Apartment,4,718,4000000,5571.03,5,11,10,Semi-Furnished,New Launch,West,4,1,0,Security|Gym|Power Backup,11774,2019-04-05,Builder,No,1
PROP00123,Hyderabad,Madhapur,Penthouse,2,3080,32500000,10551.95,18,25,0,Semi-Furnished,Under Construction,East,3,1,1,CCTV|Gym|Security|Power Backup|Lift,70615,2020-11-01,Builder,No,1
